id;title;description;is_promoted;created_at;price;user_post_id;judet_post_id;city_post_id;category_post_id;sub_category_post_id
1;Singapore Mexico;Tasty action-items;false;2021-08-24T14:49:53;34230;1;1;1;1;1
2;Buckinghamshire;solutions;false;2021-08-24T13:49:16;61138;2;2;2;2;2
3;next-generation Pataca;payment;false;2021-08-24T04:48:05;37490;1;3;3;3;3
4;mobile Dinar Fully-configurable;Suriname system compress;false;2021-08-24T09:09:31;36928;1;4;4;4;4
5;Illinois enterprise;collaborative Costa Shoes;true;2021-08-24T11:20:15;60115;2;5;5;5;5
6;withdrawal Sleek Netherlands;Digitized;true;2021-08-24T01:57:28;74469;1;6;6;6;6
7;Soft Cotton;Technician;false;2021-08-23T19:20:25;95438;1;7;7;7;7
8;connecting;clicks-and-mortar Handmade;false;2021-08-23T16:35:16;23754;1;8;8;8;8
9;Keys program;Qatari Fish redundant;true;2021-08-23T19:09:31;30427;1;9;9;9;9
10;generate Rhode connecting;Gateway deposit;true;2021-08-24T14:51:19;91017;1;10;10;10;10
